,placeName,placeTags,numPeopleVisited,numPeopleWant,placeDesc,placeShortDesc,placeNearby,placeAdress,placeAlt,placeLong,placeEditors,placePubDate,placeRelatedList,placeRelatedPlace,placeURL
625,Hindenburg Crash Site,"crash site,disaster areas,disasters,memento mori",267,931,"On May 6, 1937, the Hindenburg disaster took the lives of 35 people and left in its wake some of the most shocking and captivating disaster footage and photos the world will ever know.During an attempt to land at Lakehurst Naval Air Station, the Hindenburg airship caught fire and disintegrated into a raging ball of fire near-instantaneously, in a display of rapid combustion unlike any other. Despite its enduring legacy as a horrific disaster, less than half of the people on board the Hindenburg actually died. 62 passengers and crew escaped with their lives.A simple yet powerful memorial marks the site of the crash. A cement outline in the shape of the Hindenburg stretches across the airfield in the spot where the airship crash-landed in flames.The site was declared a Registered National Historic Landmark in 1961. ",The site of one of history's most indelible and horrific tragedies. ,"Insectropolis,Popcorn Park Zoo,Cathedral of the Air","563 Saniuk Road Lakehurst, New Jersey, 08733 United States",40.0317,-74.3224,solarconstanthanatcgarnerJane Weinhardt GoldbergrenkesslerneonmixtapetcgarnernneonmixtapehanaJane Weinhardt GoldbergMMartinrrenkessler,2013-01-27 00:00:00,"Cathedral of the Air,Insectropolis,Popcorn Park Zoo,Brooksbrae Brick Factory","Texas City Memorial,Patsy Cline Crash Site Memorial,Mount Tamalpais Aircraft Crash Site,The London Beer Flood",https://www.atlasobscura.com/places/hindenburg-crash-site
626,Webb Gallery,"outsider art,museums and collections",151,932,"Born in Waxahatchie, Texas, in 1987, the Webb Gallery is known for specializing in outsider art and the artifacts of secret societies. The collection, which overflows with curiosities, has gained an international following because of the strength behind its curation and its personality.“What started as a passion/obsession for old handmade items such as painted or repaired objects, fraternal lodge items, carnival banners, tramp art, memory jugs, quilts, and just killer oddball stuff became a continuous quest for the unusual,” is how the the Webb Gallery’s official website explains its early beginning. “The Webbs have been crisscrossing Texas, the South, the Midwest and just about any hole in the wall across the country in search of the miraculous for more than a decade.”Those travels have turned up an amazing collection of goods. Bruce and his wife amassed so much stuff that they started curating exhibits in school, universities, and museums around the country while also lecturing on what they learned during their exploration. The Webb Gallery is now housed in a 10,000-square-foot building 30 miles south of Dallas that’s hard to miss because of its cast iron front. In addition to hosting the Webb’s current collection of art, the center hosts events, musical performances, speakers, and more.",It specializes in outsider art and artifacts of secret societies. ,"Cowboy Church of Ellis County,The Church at Texas ,Munster Mansion","209 W. Franklin St. Waxahachie, Texas, 75165 United States",32.3853,-96.849,SJKvetkocatboomwebbartNicholas Jackson,2011-05-16 00:00:00,"Cowboy Church of Ellis County,Munster Mansion,The Church at Texas ,Texas Theatre","Musée d'art Moderne St Just D'Ardeche,Blenko Man,Ilana Goor Museum ,Museo de Arte Popular",https://www.atlasobscura.com/places/webb-gallery
627,Cosmic Ray Detectors,"space,universities,space exploration,technology,science",162,930,"Walking past a childcare center near the University of Chicago Hospitals, you may catch a glimpse of a battered white object marked “NASA” sitting in an alley next to an equally battered white sphere and a yellow storage container.The storage container holds the remains of the “Chicago Egg,” a 2.5-ton, 12-foot tall cosmic ray detector that flew on the Space Shuttle Challenger in 1985 as part of the Spacelab 2 (STS-51F) mission. It was among the largest pieces of scientific equipment ever to fly on a NASA space shuttle.While the site of the first self-sustaining nuclear reaction (two blocks away) enjoys national landmark status, University of Chicago astrophysicists’ work on cosmic rays is less well-recognized. The objects in this alley are the legacy of this pioneering work. (Also on this mission were specially designed Coca-Cola and Pepsi cans intended to deliver soda to astronauts in the weightlessness of space. The cans apparently did not work as well as expected and were removed from the menu on future shuttle flights, but the cosmic ray detector worked better than expected and provided a treasure trove of data.)After the tragic Challenger explosion the following year and the subsequent grounding of the shuttle fleet, researchers switched to high-altitude balloons to bring their cosmic ray detectors to the edge of space. The two battered white objects are from these later balloon-borne missions.Apart from museums, this is quite possibly the closest you can get in the Chicago area to an object that has been in space.",One of the largest pieces of scientific equipment ever carried on a NASA space shuttle sits in a Chicago alley. ,"Concrete Traffic,Nuclear Energy,Dialogo","5601 S Drexel Ave Chicago, Illinois United States",41.7931,-87.6033,dpalmer01prototypepdSiFsugarbomb,2019-01-02 00:00:00,"Nuclear Energy,Concrete Traffic,Dialogo,Oriental Institute Museum","Skylab’s Remains,The Eye of Heaven,Goonhilly Earth Station,Bremen Drop Tower",https://www.atlasobscura.com/places/cosmic-ray-detectors
628, Oklahoma City Underground,"cities,tunnels,hidden,subterranean sites,art,museums,history",273,931,"The Underground of Oklahoma City covers over 20 city blocks, filled with art and history exhibits that illustrate the individuality of the state and its residents. There is no one entrance to the Underground, but rather many secret entrances scattered throughout downtown. Opened in 1974, it was originally called the ‘Conncourse’ in honor of Jack Conn, an Oklahoma City banker. The series of tunnels stretches for about a mile underground and includes a plethora of stores, shops, and even a post office.The tunnels are color coded in a variety of neon (pink, lime, orange, yellow, light blue, purple, green, red, and blue), and each color represents a wing, which corresponds to a gallery. There are several glass skyways between buildings without underground connections. Many of the secret entrances are in the basements and parking garages of big buildings. The Sheraton Hotel’s basement is one of the more popular and accessible tunnels, but the Banc First Building has access to a larger number of tunnels. Simply take the elevator to the basement. From there, you’ll find an underground cafe, a post office, and a barber shop on your way to a tunnel lined with green fluorescent lights. That tunnel takes you to a yellow tunnel, which leads to an underground Chinese restaurant.",Travel through the hidden underbelly of the city in colorful tunnels filled with art and history exhibits. ,"American Banjo Museum,Factory Obscura Mix-Tape,Architectural DNA","1 N Broadway Ave Sheraton Hotel Oklahoma City, Oklahoma",35.4671,-97.5155,ieanferdinanderjefferynotoriousFIGsneakertree,2017-12-15 00:00:00,"American Banjo Museum,Factory Obscura Mix-Tape,Architectural DNA,Wheeler Ferris Wheel","Guardian Telephone Exchange Tunnels,History of Lisbon Mural,Secret Entrance to the White House,La Crypte Archéologique de Nice",https://www.atlasobscura.com/places/oklahoma-city-underground
629,Sant Pau Recinte Modernista,"art nouveau,modernism,art history,hospitals,architecture",454,933,"Stained glass windows, arches, paintings, and mosaics illuminated by massive windows that offer natural light in buildings surrounded by impeccable landscaping and ornate statues of gargoyles and angels aren’t often indicative of hospital aesthetics. But Sant Pau in Barcelona, with a history that dates back six centuries, is a worthwhile detour from traditional medical architecture.In the late 19th century, Barcelona was expanding beyond its old city walls, and beyond the Hospital de la Santa Creuwhich had served the city since the early 1400s. In 1896 a wealthy Catalan banker named Pau Gil i Serra died, leaving behind a will that requested his estate be used for a new hospital that would utilize the newest available medical technology.A spot was chosen about two miles northeast from the old medieval hospital, which now houses the National Library of Catalonia. Catalan architect Lluís Domènech i Montaner designed the site, which would represent the merging of six of Barcelona’s hospitals.Domènech was an influential artist in Catalan Modernisme and Art Nouveau. He designed the 27-building complex that took up the equivalent of around nine city blocks to be interconnected by underground tunnels. Sixteen of the structures were built in the Modernist style and, though guidebooks and tourists often overlook the site, make up the largest Art Nouveau site in the world.The complex was finished in 1930, with each building representing a different medical specialty. The Hospital de Sant Pau was fully functioning until 2009, when a new building, erected in the northern half of the complex, took over the duties. Several of the historic buildings were refurbished over the next several years.The site, designated as a UNESCO World Heritage Site in 1997, reopened to the public in 2014 and now serves as spaces for events, meetings, and tours of the Art Nouveau style. To this day it continues to serve its original purpose while representing an important point of reference in world architecture.",The largest Art Nouveau complex in the world is a Barcelona hospital with a 600-year-long history. ,"Sagrada Família,Bunkers of Carmel,Sewers of Barcelona","167 Carrer de Sant Antoni Maria Claret Barcelona, 08025 Spain",41.4118,2.1744,hohamhrnickGREG MEYER mdsanpricaepfromerlisagraysonsanpricallisagraysonArchimedesGREG MEYER mdeepfromerLuis Moratohrnick,2017-11-09 00:00:00,"Sagrada Família,Bunkers of Carmel,Sewers of Barcelona,Park Güell","Central Market of Valencia,House-Museum of Dr. Anastácio Gonçalves,Palau Güell,Herz-Jesu-Kirche",https://www.atlasobscura.com/places/sant-pau-recinte-modernista
630,Kilroy Was Here,"cartoons,graffiti,hidden,military history,world war ii,memorials,monuments,military",1044,930,"Hidden in an unassuming nook behind the World War II Memorial in Washington, D.C., a small engraved cartoon pays homage to the lighter side of the “greatest generation.” The little bald-headed man known as Kilroy was one of the war’s most widespread inside jokes that circulated like a meme through allied forces in the European and Pacific theaters of war.On military bases and battlefields the world over, GIs developed a reputation for covering every surface imaginable with variations of this simple cartoon. There were Kilroys in Japan, the Philippines, France, and Italy. One mysteriously even made its way into Joseph Stalin’s private bathroom at the Potsdam Conference, prompting questions from the paranoid dictator.The whole thing started with an American rivet inspector named James Kilroy who would scrawl his name all over the interiors of Liberty Ships after certifying parts as complete. Pat Tillery of KilroyWasHere.org described in an interview how, “sailors would [subsequently] go down into the bilges and find ‘Kilroy Was Here’ all over, in places where nobody had ever been before on brand new ships.” The unexpected ubiquity of the phrase was amusing, and people started retagging it everywhere as a sort of joke.After arriving overseas, the troops encountered a widespread English cartoon of a bald fellow that had similar humorous connotations and the two memes were quickly joined together.The Kilroy graffiti, “was comfort and a little bit rebellion, because they were told not to, but it spread all over the world,” says Tillery. “No matter how bad it got crawling out of that foxhole everyday, when they found a Kilroy they’d know someone was there before and survived. It was so important to every GI.” The original cartoons were fleeting wonders, commonly drawn with fading chalk, pencil, or whatever else was at hand. It’s fitting that at the Washington World War II Memorial, two symmetrical Kilroys have been etched into the stone, one near the backside of the PA pillar, and the other opposite it. These etchings keep the little story alive, and let veterans know that Kilroy is still with GIs whenever they are in harm’s way.",There’s a hidden military meme engraved on the World War II Memorial. ,"Fireworks Safety Zone on the National Mall,The Lockkeeper's House,Potomac Park Flood Levee","1964 Independence Ave SW Washington, District of Columbia United States",38.8895,-77.041,Elliot Cartere1savagebribolioGlobal Debaucherybatmanminer20notoriousFIGjjlord7Global DebaucherybribolioJJumbotobbatmanminer20Collector of Experiencese1savagenotoriousFIG,2017-08-28 00:00:00,"Potomac Park Flood Levee,Fireworks Safety Zone on the National Mall,The Lockkeeper's House,D.C. War Memorial ","Khatyn Memorial Complex,Free French Memorial Cross,War-Damaged Utility Pole Monument,Battle of Picacho Pass Monument",https://www.atlasobscura.com/places/kilroy-was-here
631,Roanoke Pinball Museum,"pinball,museums and collections",235,930,"In downtown Roanoke inside the “Center in the Square” complex alongside the Science Museum of Western Virginia, the History Museum of Western Virginia and the Harrison Museum of African American Culture is another museum that touches on technology, history, and culture, albeit in a more lighthearted fashion. Located on the second floor, the Roanoke Pinball museum opened its doors in 2015 and is home to more than 50 pinball machines, ranging in date from 1948 to the late 1990s. A “hands on” museum, every exhibit is also playable, free of charge with your entry fee. One of the oldest pinball machines in the collection is the “Screwball” which dates to 1948 when the flippers were made to point outwards. One of the early machines with flippers they were added as part of the movement of pinball machines from pure gambling devices to games of skill. Started with a small collection of 10 pinball machines donated by board member Steve Bowrey, the museum has grown extensively over the years. A labor of love, much of the work done on the machines as well as building out the handcrafted bar was done by volunteers who contributed $2,500 in time and labor rather than cash.",This collection of over 50 classic pinball machines awaits visitors to downtown Roanoke. ,"Miniature Graceland,Roanoke Star,Sharp Top Crash Site","One Market Square SE Roanoke Pinball Museum Roanoke, Virginia",37.2715,-79.9395,craderrugby007jaaronjanellegunther,2016-07-27 00:00:00,"Miniature Graceland,Roanoke Star,Sharp Top Crash Site,National D-Day Memorial","Asheville Pinball Museum,Flipper Muzeum,American Classic Arcade Museum,Pinball Hall of Fame",https://www.atlasobscura.com/places/roanoke-pinball-museum
632,Ballhaus Riviera,"music,abandoned",108,929,"The deteriorating husk of the Ballhaus Riviera is all that remains of the once splendid dance halls which personified 1920’s Berlin Grünau.On the banks of the Dahme River, the formerly regal dance hall is crumbling into ruins, a beacon to photographers, urban explorers, and vandals. Its rotting walls covered in graffiti and broken glass, the deteriorating building still holds the shadows of its jubilant past. These dangerously decaying floors were once graced with the lithe steps of Berlin’s hot party scene, the first dance taking place in 1890. Grünau was the bees knees as far as hot vacation places went, known for its rowing clubs and Regattas that attracted crowds of up to 50,000. The huge amount of carousing party-goers called for a place to cut a rug, and the Ballhaus Riviera was the place to be.It remained a focal point of Grünau party society until its popularity finally took a dive in the late 1970’s, the final nail in its coffin coming in the form of the disco fad. It shuffled along with low attendance until finally shutting its doors in 1990. Now, the dance hall sits unattended, a fire hazard stripped of anything unbroken or valuable. While interested investors hover with visions of hotels or apartment buildings in their heads, the ravaged ballroom crumbles.Update: As of July 2019, the building caught fire with portions of it collapsing. Only some of the outer walls are standing.","The music is over at the Ballhaus Riviera Ballroom, but the ballroom remains in haunting disrepair. ","'Der Fall Daidalos und Ikaros' ('The Case of Daedalus and Icarus'),Fernsehturm Müggelberge,German-Russian Museum","171 Regattastraße Berlin, 12527 Germany",52.4146,13.583,hrnickRachelKate MaveauCarismarkus,2014-06-04 00:00:00,"Fernsehturm Müggelberge,'Der Fall Daidalos und Ikaros' ('The Case of Daedalus and Icarus'),German-Russian Museum,Spreepark","Kaiser Convention Center,Battersea Power Station,Steinert Hall,Maharishi Mahesh Yogi Ashram",https://www.atlasobscura.com/places/ballhaus-riviera
633,The London Stone,"rites and rituals,monuments",621,1041,"London Stone is a historic artifact housed behind a glass panel in Cannon Street (previously visible behind an iron grill until 2018), stirring up all kinds of mystique and intrigue – and rightly so.The stone is a block of limestone and is of a sort that is not naturally found in or around the London area. Geologists have concluded that the nearest source for its origin would be in Kent, which is 60 miles away.The original reason it was brought to London is unknown. The earliest written reference to the London Stone is in a book belonging to King Athelstan in the early 10th century. It was used as a common transportation landmark in the 12th century when it was referred to as the Londenstane.Texts from the 17th and 18th centuries suggest that it was actually a central marker from which all distances to related cities or townships were measured back in Roman times.The London Stone is sometimes called the Stone of Brutus, referring to the mythical Trojan founder of London. Popular tales include the stone being the remains of an ancient stone circle that is alleged to have stood on nearby Ludgate Hill. In other legends, it was associated with the mythical King Arthur, as so many ancient objects tend to be in England.Although there are no references that suggest that the stone had any symbolic authority, in 1450 Jake Cade, leader of a rebellion against Henry VI, struck his sword against it and declared himself “Lord of the City.” The event was dramatized in Shakespeare’s play Henry VI.In the 15th century, the stone was commonplace for meetings, the taking of oaths, and the making of official proclamations. The Lord Mayor of London would strike the stone with staff on Mayor’s Day as a proclamation of authority. ","This legendary stone is of unknown origin, and throughout history has been a literal touchstone for British leaders. ","Mansion House Square,Temple of Mithras,Signs of Old Lombard Street","Cannon Street London, England, EC4N 5AR United Kingdom",51.5116,-0.0895,VordeniusGavinMartinMark CaseyRachelstevephillips23llsz11495Snowdrop68ccharlie 836d8a33AdOYoGavinzydekoDDenverApplehansSEANETTAmikegtnsstevephillips23ttimmcnultyMMartinRachelMark Casey,2013-02-19 00:00:00,"Mansion House Square,Signs of Old Lombard Street,Temple of Mithras,Monument to the Great Fire of London","The Blessing of the Fleets Ceremony,The Ceremonial South Pole,Beijing Ancient Architecture Museum / Xiannongtan (Temple of Agriculture),Mount Osore",https://www.atlasobscura.com/places/london-stone
634,'Alien' Gargoyle,"gargoyles,science fiction,aliens,churches,sacred spaces,architectural oddities,architecture",160,928,"Paisley Abbey was first built in the 12th century. The medieval site is steeped in history—it’s even said Sir William Wallace was educated here. But it’s the abbey’s more recent architectural details that are responsible for drawing sci-fi fans to the site.In 1991, the abbey underwent some necessary restoration work. Twelve of its 13 gargoyles were so badly ruined from water damage they had to be removed. The work was carried out by an Edinburgh-based stone masonry company, which replaced the carvings with newer models.Apparently, some of the stone masons had a bit of fun with their creations. One of the gargoyles is certainly unique, which is fitting, as medieval tradition holds that no two gargoyles can look the same. The creature bears a strong resemblance to H.R. Giger’s Xenomorph from the Alien franchise. As the films were popular throughout the 1980s and early ‘90s, it’s likely one of the workers drew a bit of inspiration from its otherworldly antagonist.But rest assured: This alien being won’t go around stalking and terrorizing any astronauts. Instead, it remains mounted on the abbey’s southwestern side, performing its honorable gargoyle duty of warding off evil.",A familiar otherworldly creature guards this 12th-century Scottish abbey. ,"Respiro del Diavolo,Barshaw Park,Paisley Witches Memorial","575 Cotton St Paisley, Scotland United Kingdom",55.8449,-4.4203,ssm67albaJaszmina SzendreySEANETTAboudicasbotanicals,2018-08-15 00:00:00,"Paisley Witches Memorial,Barshaw Park,Respiro del Diavolo,Johnstone Castle","Parroquia de Nuestra Señora de la Asunción (Parish of Our Lady of the Assumption),Rio de Janeiro Cathedral ,Annunciation Greek Orthodox Church,The Bull of Santa Maria del Fiore",https://www.atlasobscura.com/places/paisley-abbey-gargoyle
635,Barbie Pond on Avenue Q,"dolls,toys,roadside attractions,collections",406,928,"Every new holiday, locals and visitors of Washington, D.C.’s Logan Circle neighborhood are excited to get a look at the ever-changing installation of Barbie dolls in front of one of the buildings. They’re rarely disappointed by the rows of nude Barbies that seem to grow out of the dirt.Despite its slightly misleading name, the curious collection is actually located on Q Street NW. There, you’ll find dolls doing anything from hanging out in pumpkins to dancing on record players, all while wearing seasonally appropriate (or sometimes inappropriate) clothing.Their anonymous curator doesn’t shy away from politics either. During the 2016 election, several Barbies holding “VOTE” signs watched as a Barbie candidate gave a speech from the podium. And its scope is unlimited. The pond celebrates Gay Pride and disco dancing as well as St. Patrick’s Day and Easter.While the Instagram account with over 7,000 followers boasts that Barbie Pond is “bringing Logan Circle property values down since 2014,” many people love the elaborate installations. Elaina Plot wrote about the pond in 2016, noting her adoration for the pond and the artist’s desire to remain anonymous: “The Barbie Pond may be a model for a life well-lived, but it is also an oasis of mysteries.”In September 2017, a neighbor who was about to move away left the gift of a Barbie and Ken set and a note that begins “After 8+ years in this neighborhood I’m moving out of D.C. I wanted to leave you with a little something to say thank you for all of the joy you have brought me.”The pond continues to inspire, and has even inspired rivals.","A rotating cast of guys and dolls in front of a Washington, D.C. building. ","The Cairo,House of the Temple,Charlotte Forten Grimké House","1454 1/2 Q St NW Washington, District of Columbia United States",38.9109,-77.0341,clareccdmvfilleblimpcaptainwaywardwillardLost On PurposeshijarrellLLost On Purposebeefjorkydmvfillebblimpcaptainsshijarrellwaywardwillardllydiasee,2017-10-09 00:00:00,"The Cairo,Charlotte Forten Grimké House,House of the Temple,Annie's Paramount Steakhouse","National Bobblehead Hall of Fame and Museum,Sunvale Village,Barbie Beach,Aunt Claudia's Dolls, a Museum",https://www.atlasobscura.com/places/barbie-pond
636,Chamberí Ghost Station,"subways,trains,transportation,museums",227,933,"Travelers on the Madrid Metro’s line 1 (the “blue” line) have probably noticed an old station flashing through the train car’s windows for a few seconds between the Bilbao and Iglesia stops. This is the now-disused Estación de Chamberí, and its history provides an instructive glimpse at the history of the Madrid Metro itself.One of eight stations on the Metro’s first line, the Chamberí station linked the nascent system to the Plaza de Chamberí above. Opened in 1919, this inaugural version of the Metro ran for four kilometers, from Cuarto Caminos to Puerta del Sol. However, this modest start would quickly become a popular and vital part of the urban landscape, expanding rapidly over the following decades to become one of the longest and most comprehensive metro systems in the world.During the turbulent years of the Spanish Civil War, the station provided shelter from the deadly bombing campaigns and artillery assaults of the Nationalist forces (and their Nazi allies) to terrified and shell-shocked Madrileños who would sleep within the station. Several diesel engines in the station were also used by the Republican government to power huge parts of the city during the war. As part of its progressive expansion, the trains on line 1 were lengthened in the 1960s. This meant the end for Chamberí. Because it was built on a curve and close to both Bilbao and Iglesia, lengthening the station’s platform proved both pointless and basically impossible. Chamberí was closed on May 22, 1966. The rails, however, were not moved, nor the trains rerouted, so it served for decades thereafter as the mystery station glimpsed by passengers on trains merely passing through. The rails and overhead electric lines continued to be maintained, but the rest of the station fell into dilapidation and disrepair. It remained, however, a sealed example of the transit systems origins, and thus rehabilitation efforts began in 2006 to transform Estación de Chamberí into a museum chronicling the history of the Madrid Metro. Opened in 2008, the museum, called Andén 0, or “Platform Zero,” features a fully restored Chamberí, complete with old ticket offices, turnstiles, maps, and a film about the building of the Metro.The main attraction, however, is found in the beautifully reconstructed original ads lining the walls of the platform, composed of tiny, brilliantly-colored tiles just as they were in 1919. Just don’t be startled by the trains that still rumble through this abandoned-station-turned-museum, separated from the exhibit area only by a clear glass barrier.Update as of January 2020: The Chamberí Ghost Station is open and free of charge. ","Abandoned for decades, trains still pass through the now-restored remains of one of Madrid's first metro stations. ","Frontón Beti-Jai,Spain's Good Luck Frog,Relics of St. Valentine at Iglesia de San Antón","38-40 Calle de Luchana Madrid, 28010 Spain",40.4323,-3.6977,fernandezlagomundotorpeMonsieur MictlanhrnickXavixavirLuis MoratopphilcalvertXavixavirMonsieur MictlanLuis MoratomundotorpeAAlcazarRHyzerhrnick,2016-05-26 00:00:00,"Frontón Beti-Jai,Relics of St. Valentine at Iglesia de San Antón,Spain's Good Luck Frog,Museo Lazaro Galdiano ","London Transport Museum Depot,Travel Town Museum,Nevada Northern Railway Museum,Fish Car No. 3",https://www.atlasobscura.com/places/chamberi-ghost-station
637,The Ghost Fleet of Mallows Bay,"ghost ships,object cemeteries,ship graveyards,fauna,wwi,shipwrecks,ships,abandoned,animals",223,931,"If there were ever a place that could be described as a ship graveyard, it is the murky waters of Mallows Bay.The remains of the fallen ships create a virtual reef of their own on the shores of this small bay on the Potomac River. Once mighty steamships, many built for war, these vessels now serve as a decaying refuge for woodland creatures.Close to 230 shipwrecks litter the bay in what is believed to be the largest shipwreck fleet in the Western Hemisphere. (Chuuk Lagoon being the largest in the world.). Dozens can still be seen in the shallow waters, remnants of the latest (and priciest) shipbuilding project in history.When the U.S. entered WWI, the military was coming up a little short on transport vessels, so 1,000 wooden steamships were approved for construction under the tight deadline of just 18 months. With a rapidly approaching due date and a supply of steel  that was reserved for ships that would see battle, the rush job was just that. It resulted in poorly constructed wooden ships that, despite the time saving methods used, didn’t come anywhere close to being ready in time. By the time the Germans had surrendered, not a single ship from the lofty order had crossed the ocean.With the war over and steel once again in abundance, the ships, mostly unused, became obsolete and were discarded, left to rot in the Potomac. Two salvages were attempted but were, for the most part, unsuccessful due to cost and sheer magnitude.In the 1960s, an effort to clean up the bay was begun in earnest, and research was conducted to inventory, judge cost, and measure the environmental effects of the ships. During that research, it was discovered that the shipwrecks had, in their non-toxic wooden state, become the foundation of an active and thriving ecosystem. Acting as vessels for new life, the ghost ships will remain in the bay until they crumble away to nothing in the waters where they rest.","The remnants of a wooden-hulled fleet built and abandoned in WWI, now home to a thriving ecosystem. ","Staff Sgt. Reckless Monument,Chapman State Park,Hogan's Alley ","Wilson Landing Road Nanjemoy, Maryland, 20662 United States",38.4726,-77.2686,itsthedaxRachelArchimedesbcgobravesbrf2001kangerang,2013-11-11 00:00:00,"Staff Sgt. Reckless Monument,Hogan's Alley ,Chapman State Park,Stagg Hall","Cemitério de Navios (The Ship Cemetery),Suisun Bay Ghost Fleet,USS Sachem Ruins,Ship Breaking Yard of Gadani",https://www.atlasobscura.com/places/the-ghost-fleet-of-mallows-bay-nanjemoy-maryland
638,Berkeley Mystery Walls,"walls,mystery,archaeology",90,930,"There are remnants of ancient stone walls all over the East Bay, and no one knows how old they are, who built them, or why. Though people have been pondering the enigma of the  Berkeley Mystery Walls for well over a hundred years, no conclusions have been reached, and despite wild speculation, no serious scholarly study has ever been undertaken.Stretching for over 50 miles, the East Bay “Mystery Walls” are found up and down the hills of the East Bay from Berkeley to San Jose. The stone walls are up to five feet tall in places, and are constructed from boulders of varying sizes, some weighing up to a ton. The walls run in broken sections, anywhere from a few meters to half a mile in length, and are placed in unlikely and inaccessible places. They seem to serve no known purpose. They are not continuous or high enough to act as an enclosure, or measure of defense. They are clearly, visibly, very old. The heavy stones have sunk deep into the ground, and they are overgrown with lichen. After meandering throughout the Oakland hills, they head inland towards Mt. Diablo where they lead to mysterious stone circles, up to 30 feet in diameter. In one place the walls form a spiral 200 feet wide that circles a large boulder.The Spanish settlers in the area reported that the walls were already there when they arrived, and when they asked the local Ohlone American Indians, they said the same thing. In 1904, the founder of the Contra Costa Club said the walls were clearly of prehistoric origin and could be evidence that an advanced civilization had once settled in the East Bay. Also in 1904, the professor of Oriental languages at UC Berkeley declared that the walls were surely the work of settlers from Mongolia, as the Chinese tended to wall in their cities, and the mystery walls were reminiscent of the Great Wall of China. Others have theorized that they were built by the early Missionaries, and still others wonder if Sir Frances Drake did not leave colonists behind at the site where he completed the circumnavigation of the globe. While speculations abound, the “Mystery Walls of the East Bay,” or the “Great Wall of California” remains a mystery to this day.Visitors can investigate the Mystery Walls for themselves at several East Bay parks including Tilden Regional Park in Orinda, Ed. R Levin County park in Santa Clara, and Mission Peak Regional Preserve in Alameda County. ",Neither Spanish settlers nor anyone since has been able to tell who built these strange California rock walls. ,"Bosco the Dog Mayor,California School for the Blind,Sunol Water Temple","Fremont, California, 94539 United States 37.5117, -121.8777Book a hotel on Kayak NearbySunol Water Temple5.11 milesBosco the Dog Mayor5.72 milesCalifornia School for the Blind5.95 miles",37.5117,-121.8777,thirdthresholdclairebewarenadpete,2013-06-02 00:00:00,"Sunol Water Temple,Bosco the Dog Mayor,California School for the Blind,Drawbridge","Duino Mithraeum,Valerian Wall at Niche Hotel,Proteichisma on Erysichthonos Street,Klafthmonos Square Parking Structure Fortification Walls",https://www.atlasobscura.com/places/berkeley-mystery-walls
639,Paris Padlocks of Love,"love locks,rites and rituals,bridges",3668,927,"Paris is the city of love, so it’s fitting that the French capital has several thriving love lock locations. Love locks — a modern ‘tradition’ whereby sweethearts inscribe their names or initials on a padlock, attach it to a public structure, and throw away the key, permanently sealing their love — used to adorn the Pont des Arts, the footbridge that crosses the Seine from the Left Bank to the Louvre, as well as the Pont de l’Archevêché, in the shadow of Notre Dame Cathedral.Several years ago, following political discussions about whether the locks were an eyesore or detrimental to the integrity of the city’s architecture, the Pont des Arts was mysteriously cleared one night and locks are now routinely removed from various locations around the city.Many locals consider the lovelocks to be a serious problem that threaten bridges and other important landmarks due to the accumulated weight of the locks. However, in June of 2014, part of the Pont des Arts bridge had to be closed when one of its metal grills collapsed, lugged down by the locks. In May of 2015, the city council decided to remove all of them (45 tonnes in total) and install panels to prevent people from fixing new ones.Of course, tourists bemoan the removal of the love locks, complaining that this is a loved Parisian tradition. However, it is perhaps worth remembering that The Pont des Arts was built under the reign of Napoleon I, and love locks only started appearing in 2008!Of course, love locks haven’t disappeared from the bridges over the Seine. Indeed, padlock and permanent marker pen vendors do a thriving trade on and alongside the bridges. However, lovers beware, city authorities often remove locks from landmarks, breaking them, and perhaps breaking the love the locks were supposed to secure?Update 2016: The locks were cut off the bridge for safety purposes.Update 2022: While the locks have returned to the Pont des Arts as well as other Parisian bridges and their surroundings, it is unclear whether they’ll remain there for a while or not.",The celebrated eyesore created by starry-eyed sweethearts. ,"Execution Site of Jacques de Molay,Monnaie de Paris (Paris Mint),Mascarons of Pont Neuf","Pont des Arts Paris, 75006 France",48.8578,2.3374,amyfreebornEvarinOliviaRoseFred CherrygardenSimon JonesMolly McBride JacobsonSarah Vanheel CosmopoliClanFred CherrygardenggpaulusRindy99Luis MoratoOOliviaRoseSimon JonesMolly McBride JacobsonEEvarinLucyKGKatieBushadda dadaRachel,2012-02-14 00:00:00,"Monnaie de Paris (Paris Mint),Mascarons of Pont Neuf,Execution Site of Jacques de Molay,Maison de Serge Gainsbourg","Brooklyn Bridge Love Locks,Eiserner Steg (Iron Bridge),Ponte dei Pugni (Bridge of Fists),Love Locks of Västerbron",https://www.atlasobscura.com/places/paris-padlocks-of-love
